hotspot_id,jurisdiction,severity,location_raw,traffic_ps,circle_no_clean,geocode_query,source_file,point_no_in_source,latitude,longitude,geocode_match_quality,geocoded_display_name,geocode_query_used,geocode_query_used_v3,geocode_precision,map_latitude,map_longitude,jittered_for_display,elevation_m,Aug2000_flood_total_mm,Aug2008_flood_total_mm,Oct2020_flood_total_mm,Aug2000_flood_max_daily_mm,Aug2008_flood_max_daily_mm,Oct2020_flood_max_daily_mm,snapshot_date,current_day_rain_mm,cum_rainfall_3day,cum_rainfall_5day,slope_degrees
HR0011,GHMC-Hyderabad,Critical,"Near Tapadia Diagnostic Centre, Opp. Chikkadpally L&O PS.",Chikkadpally,15,"Near Tapadia Diagnostic Centre, Opp. Chikkadpally L&O PS., Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,11,17.400939,78.4976319,full,"Chikkadpally, Ward 87 Ramnagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Himayatnagar mandal, Hyderabad, Telangana, 500027, India",,"Chikkadpally, Hyderabad, Telangana, India",ward_level,17.4009048,78.4976769,True,497.3804000000037,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,1.6634929636617162
HR0012,GHMC-Hyderabad,Critical,"Near Minerva Hotel, Himayat Nagar",Narayanguda,16,"Near Minerva Hotel, Himayat Nagar, Narayanguda, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,12,17.3981159,78.4885006,full,"Narayanguda, Ward 79 Himayath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Himayatnagar mandal, Hyderabad, Telangana, 500029, India",,"Narayanguda, Hyderabad, Telangana, India",ward_level,17.3985479,78.48933939999999,True,507.0,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,1.0968482496813856
HR0013,GHMC-Hyderabad,Critical,"Near Rajiv Gandhi Statue, Khairthabad",Saifabad,17,"Near Rajiv Gandhi Statue, Khairthabad, Saifabad, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,13,17.4047878,78.4658367,full,"Saifabad, Ward 91 Khairatabad, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500004, India",,"Saifabad, Hyderabad, Telangana, India",ward_level,17.4038977,78.4651581,True,530.5370987103832,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,4.147602198702925
HR0014,GHMC-Hyderabad,Critical,Lakdi-Ka-Pool,Saifabad,17,"Lakdi-Ka-Pool, Saifabad, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,14,17.40478,78.4610966,full,"Lakdi-ka-pool, Lakdikapul Road, Lakdi-ka-pul, Ward 91 Khairatabad, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500004, India",,"Lakdi-Ka-Pool, Hyderabad, Telangana, India",point_level,17.40478,78.4610966,False,526.1262118399583,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,4.614520049538821
HR0015,GHMC-Hyderabad,Critical,Rethibowli Jn towards Attapur.,Tolichowki,12,"Rethibowli Jn towards Attapur., Tolichowki, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,15,17.4002904,78.4118051,full,"Tolichowki, Ward 94 Shaikpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500096, India",,"Tolichowki, Hyderabad, Telangana, India",ward_level,17.3995758,78.4109996,True,536.5925200000127,249.8,237.7,163.0,128.0,58.8,90.2,2026-09-09,0.9,13.099999999999998,18.5,2.9627177543750403
HR0016,GHMC-Hyderabad,Critical,"Near Galaxy Theatre, Tolichowki",Tolichowki,18,"Near Galaxy Theatre, Tolichowki, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,16,17.4036256,78.409811,full,"Galaxy Theatre, Old Bombay Highway, Brindavan Colony, Tolichowki, Ward 94 Shaikpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500008, India",,"Galaxy Theatre, Tolichowki, Hyderabad, Telangana, India",point_level,17.4036256,78.409811,False,535.964510335997,249.8,237.7,163.0,128.0,58.8,90.2,2026-09-09,0.9,13.099999999999998,18.5,1.1143764887014513
HR0017,GHMC-Hyderabad,Critical,Shaikpet Nala,Tolichowki,18,"Shaikpet Nala, Tolichowki, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,17,17.4002904,78.4118051,full,"Tolichowki, Ward 94 Shaikpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500096, India",,"Tolichowki, Hyderabad, Telangana, India",ward_level,17.4007494,78.4115783,True,536.5925200000127,249.8,237.7,163.0,128.0,58.8,90.2,2026-09-09,0.9,13.099999999999998,18.5,2.9627177543750403
HR0018,GHMC-Hyderabad,Critical,"Opp Medivision Eye Hospital, NMDC",Asif Nagar,12,"Opp Medivision Eye Hospital, NMDC, Asif Nagar, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,18,17.3857483,78.4505083,full,"Asif Nagar, Tappachabutra road, HUDA Colony, Ward 72 Asif Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500006, India",,"Asif Nagar, Hyderabad, Telangana, India",point_level,17.3859049,78.4505587,True,520.2221971344209,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,1.6807748820001092
HR0019,GHMC-Hyderabad,Critical,"Opp Pizza Hut, 1/12 Junction, Banjarahills",Asif Nagar,18,"Opp Pizza Hut, 1/12 Junction, Banjarahills, Asif Nagar, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,19,17.3857483,78.4505083,full,"Asif Nagar, Tappachabutra road, HUDA Colony, Ward 72 Asif Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500006, India",,"Asif Nagar, Hyderabad, Telangana, India",point_level,17.3850139,78.4508503,True,520.2221971344209,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,1.6807748820001092
HR0020,GHMC-Hyderabad,Critical,"Nampally “T” Junction, Opp: Nampally Rly, Station",Nampally,12,"Nampally “T” Junction, Opp: Nampally Rly, Station, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,20,17.3923995,78.4701477,full,"Nampally, NH44;NH65;NH163, Fateh Maidan, Ward 78 Gunfoundry, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana, 500001, India",,"Nampally, Hyderabad, Telangana, India",point_level,17.393052,78.4698939,True,508.7875362959795,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,4.8382475176883215
HR0021,GHMC-Hyderabad,Critical,Opp L & O Ps Begum Bazar,Goshamahal,14,"Opp L & O Ps Begum Bazar, Goshamahal, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,21,17.3805762,78.468846,full,"Goshamahal, Ward 51 Goshamahal, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana, 500012, India",,"Goshamahal, Hyderabad, Telangana, India",ward_level,17.3798481,78.4691862,True,499.0057600000016,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,3.2118263914675067
HR0022,GHMC-Hyderabad,Critical,"Rangmahal Junction, Putli bowli.",Sultan Bazar,14,"Rangmahal Junction, Putli bowli., Sultan Bazar, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,22,17.3870437,78.4869648,full,"Sultan Bazar, Ward 78 Gunfoundry, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana, 500095, India",,"Sultan Bazar, Hyderabad, Telangana, India",ward_level,17.387484699999998,78.4868217,True,510.40441559038806,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,3.164286303809851
HR0023,GHMC-Hyderabad,Critical,Malakpet RUB,Malakpet,6,"Malakpet RUB, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,23,17.3736706,78.4996484,full,"Malakpet, Ward 27 Akbarbagh, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Amberpet mandal, Hyderabad, Telangana, 500036, India",,"Malakpet, Hyderabad, Telangana, India",ward_level,17.3731459,78.5005385,True,501.5884351616156,231.1,237.4,170.7,126.3,52.5,80.5,2026-09-09,2.6,14.6,22.1,1.9472531787098266
HR0024,GHMC-Hyderabad,Critical,Malakpet Gunj.,Malakpet,6,"Malakpet Gunj., Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,24,17.3746375,78.5051827,full,"malakpet gunj road, MCH Colony, Ward 26 Old Malakpet, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Amberpet mandal, Hyderabad, Telangana, 500036, India",,"Malakpet Gunj., Hyderabad, Telangana, India",point_level,17.3746375,78.5051827,False,502.1625554000452,231.1,237.4,174.5,126.3,52.5,73.6,2026-09-09,2.2,11.1,19.2,4.221938818726773
HR0025,GHMC-Hyderabad,Critical,"Bandlaguda, Near Moghal Engineering College.",Falaknuma,11,"Bandlaguda, Near Moghal Engineering College., Falaknuma, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,25,17.3326604,78.4751984,full,"Falaknuma, Quadri chaman road, Jangamet, Ward 45 Jangammet, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Bandlaguda mandal, Hyderabad, Telangana, 500065, India",,"Falaknuma, Hyderabad, Telangana, India",point_level,17.3319818,78.4759949,True,524.1266707455845,231.1,237.4,166.0,126.3,52.5,84.9,2026-09-09,3.7,10.7,14.4,2.437898583197498
HR0026,GHMC-Hyderabad,Critical,"In front of Fiza Hotel, Bhadurpura “X” Road",Bahadurpura,10,"In front of Fiza Hotel, Bhadurpura “X” Road, Bahadurpura, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,26,17.3570672,78.4545419,full,"Bahadurpura, Ward 56 Kishanbagh, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, 500064, India",,"Bahadurpura, Hyderabad, Telangana, India",ward_level,17.3575514,78.4549802,True,500.2072400000191,231.1,237.4,166.0,126.3,52.5,84.9,2026-09-09,3.7,10.7,14.4,2.229506318070535
HR0027,GHMC-Hyderabad,Critical,"Danamma Huts, Near Miralamtank",Bahadurpura,11,"Danamma Huts, Near Miralamtank, Bahadurpura, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,27,17.3570672,78.4545419,full,"Bahadurpura, Ward 56 Kishanbagh, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, 500064, India",,"Bahadurpura, Hyderabad, Telangana, India",ward_level,17.3575343,78.4538255,True,500.2072400000191,231.1,237.4,166.0,126.3,52.5,84.9,2026-09-09,3.7,10.7,14.4,2.229506318070535
HR0028,GHMC-Hyderabad,Major,"YMCA Flyover starting & ending opp: DCP office, North Zone",Gopalpuram,30,"YMCA Flyover starting & ending opp: DCP office, North Zone, Gopalpuram, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,1,17.5165945,78.4592808,retry_success,"Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, India","North Zone, Hyderabad, Telangana, India",,unresolved,17.5165945,78.4592808,False,565.6706800000068,249.8,237.7,171.6,128.0,58.8,83.0,2026-09-09,2.5,16.6,19.4,3.6482700650128934
HR0029,GHMC-Hyderabad,Major,Old Gandhi hospital,Mahankali,30,"Old Gandhi hospital, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,2,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4382024,78.49187529999999,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0030,GHMC-Hyderabad,Major,In front of Nissan Show Room SP Road,Mahankali,30,"In front of Nissan Show Room SP Road, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,3,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.437833400000002,78.4910167,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0031,GHMC-Hyderabad,Major,"Bombay Hotel, Ranigunj X Road",Mahankali,30,"Bombay Hotel, Ranigunj X Road, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,4,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4383059,78.4913929,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0032,GHMC-Hyderabad,Major,Ranigunj Depot. Near Karbala Junction,Mahankali,30,"Ranigunj Depot. Near Karbala Junction, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,5,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.436720100000002,78.49208949999999,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0033,GHMC-Hyderabad,Major,P&T Flyover ending in front of Nandini Hotel,Mahankali,30,"P&T Flyover ending in front of Nandini Hotel, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,6,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4367075,78.4919563,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0034,GHMC-Hyderabad,Major,C.T.O Junction,Mahankali,30,"C.T.O Junction, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,7,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.436787600000002,78.4916035,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0035,GHMC-Hyderabad,Major,"MG Road, Gandhi Statue",Mahankali,30,"MG Road, Gandhi Statue, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,8,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4378892,78.491851,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0036,GHMC-Hyderabad,Major,Rocha Bazar towards Ranigunj,Mahankali,30,"Rocha Bazar towards Ranigunj, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,9,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.437493200000002,78.4919419,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0037,GHMC-Hyderabad,Major,Panjagutta Starting Flyover,Mahankali,17,"Panjagutta Starting Flyover, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,10,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4384661,78.4922038,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0038,GHMC-Hyderabad,Major,"Venkat Plaza, Opp Joy Alukas Showroom Panjaguta",Mahankali,17,"Venkat Plaza, Opp Joy Alukas Showroom Panjaguta, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,11,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4368452,78.4913425,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0039,GHMC-Hyderabad,Major,Delhi wala Sweet House towards Shalimar Junction,Mahankali,17,"Delhi wala Sweet House towards Shalimar Junction, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,12,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4378325,78.4922011,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0040,GHMC-Hyderabad,Major,Ameerpet near Charmas,Mahankali,17,"Ameerpet near Charmas, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,13,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4366949,78.4906621,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
HR0041,GHMC-Hyderabad,Major,Nims Hospital,Mahankali,17,"Nims Hospital, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,14,17.422629,78.453588,full,"Nizams Institute of Medical Sciences Hospital (NIMS), Somajiguda Road - Panjagutta Main Road, Irrum Manzil, Panjagutta, Ward 91 Khairatabad, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India",,"Nims Hospital, Hyderabad, Telangana, India",point_level,17.422629,78.453588,False,533.6574380800174,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.4410894193100763
HR0042,GHMC-Hyderabad,Major,"Ansar Manzil, opp: More super market",Mahankali,17,"Ansar Manzil, opp: More super market, Mahankali, Hyderabad, Telangana, India",Major_Water_Logging_Points_with_Alternative_Routes.pdf,15,17.437594,78.4913299,full,"Mahankali Street, Ward 148 Ramgopalpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Secunderabad mandal, Hyderabad, Telangana, 500003, India",,"Mahankali, Hyderabad, Telangana, India",point_level,17.4384877,78.49163229999999,True,531.4492399999854,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,2.713253625193573
